Date,year,month,week,X24hAverage,Ask,Bid,Last,TotalVolume,numberOfTransactions,nTweets,nNewsReuters,nNewsCryptocoin,searchInterest,nTweetsTopUser
2016-02-05,2016,2,6,388.85,387.93,387.63,387.8,62314.77,215910,NA,0,3,17,NA
2016-02-04,2016,2,6,380.05,390.51,390.26,390.34,109604.17,201065,NA,0,0,17,NA
2016-02-03,2016,2,5,374.26,370.9,370.67,370.85,63504.75,200087,NA,0,2,17,NA
2016-02-02,2016,2,5,376.37,376.04,375.8,376.09,52990.22,231998,NA,1,0,17,NA
2016-02-01,2016,2,5,373.83,373.47,373.07,373.24,77215.33,221764,NA,1,1,17,NA
2016-01-31,2016,1,5,380.28,369.09,368.84,369.02,46703.56,168625,NA,2,0,17,NA
2016-01-30,2016,1,5,380.11,379.38,379.04,379.43,37735.91,209984,NA,0,0,17,NA
2016-01-29,2016,1,5,376.98,379.18,378.91,378.93,144072.45,222622,NA,2,2,17,NA
2016-01-28,2016,1,5,385.76,381.18,380.84,381.34,79021.72,231454,NA,0,0,17,NA
2016-01-27,2016,1,4,396.67,397.66,397.47,397.55,44026.22,226385,NA,0,0,18,NA
2016-01-26,2016,1,4,395.14,393.8,393.54,393.74,58848.08,236175,NA,0,2,18,NA
2016-01-25,2016,1,4,397.18,393.02,392.75,392.93,70365.67,210592,NA,3,0,18,NA
2016-01-24,2016,1,4,397.9,403.47,403.04,403.37,65762.55,193572,NA,0,0,18,NA
2016-01-23,2016,1,4,389.74,388.25,387.74,388.14,63903.34,200913,NA,0,0,18,NA
2016-01-22,2016,1,4,394.98,382.98,382.65,383,149524.78,226106,NA,2,0,18,NA
2016-01-21,2016,1,4,415.04,411.74,411.53,411.85,89153.98,210240,NA,1,3,18,NA
2016-01-20,2016,1,3,394.47,419.72,419.03,419.67,198153.39,196033,NA,4,0,21,NA
2016-01-19,2016,1,3,384.69,380.55,380.26,380.58,65689.5,205735,NA,3,0,21,NA
2016-01-18,2016,1,3,383.9,387.58,387.2,387.4,67153.47,213934,NA,1,1,21,NA
2016-01-17,2016,1,3,385.45,381.83,381.27,381.66,66584.63,192731,NA,0,0,21,NA
2016-01-16,2016,1,3,372.05,387.93,387.72,387.95,192671.11,190301,NA,0,0,21,NA
2016-01-15,2016,1,3,402.74,361.16,360.74,361.11,288537.16,185105,NA,3,1,21,NA
2016-01-14,2016,1,3,431.89,430.2,429.86,430.21,44252.33,183390,NA,0,0,21,NA
2016-01-13,2016,1,2,430.77,433.21,433.01,433.17,106557.43,191628,NA,4,0,20,NA
2016-01-12,2016,1,2,448.57,447.87,447.46,447.63,46786.88,196656,NA,0,1,20,NA
2016-01-11,2016,1,2,448.58,449.66,449.38,449.65,56297.95,179771,NA,0,2,20,NA
2016-01-10,2016,1,2,446.91,448.51,448.29,448.47,44894.46,164687,NA,0,0,20,NA
2016-01-09,2016,1,2,452.07,452.1,451.67,452.07,39057.78,178374,NA,0,0,20,NA
2016-01-08,2016,1,2,456.09,455.28,454.91,455.13,90314.5,190001,NA,0,0,20,NA
2016-01-07,2016,1,2,448.33,456.78,456.6,456.82,130435.34,177873,NA,0,0,20,NA
2016-01-06,2016,1,1,432.11,433.15,433.04,433.21,44333.26,177478,NA,0,0,19,NA
2016-01-05,2016,1,1,433.72,434.05,433.87,434.18,47237.28,187012,NA,0,0,19,NA
2016-01-04,2016,1,1,432.02,434.81,434.53,434.64,50806.58,170176,NA,0,1,19,NA
2016-01-03,2016,1,1,431.13,430.15,429.69,429.54,54095.4,141064,NA,0,0,19,NA
2016-01-02,2016,1,1,434.35,435.61,434.77,435.3,34694.35,142904,NA,0,0,19,NA
2016-01-01,2016,1,1,433.21,434.84,434.28,434.65,47106.39,123623,NA,0,0,19,NA
2015-12-31,2015,12,53,426.52,431.33,431.13,431.4,66915.8,164132,NA,0,1,NA,NA
2015-12-30,2015,12,53,430.09,428.03,427.65,428,71380.42,181836,NA,0,0,NA,NA
2015-12-29,2015,12,52,425.99,430.66,430.29,430.56,72047.25,187040,NA,0,0,18,NA
2015-12-28,2015,12,52,425.03,422.41,421.96,422.24,77031.82,166837,NA,0,0,18,NA
2015-12-27,2015,12,52,418.46,424.66,424.27,424.47,76363.56,156554,NA,0,0,18,NA
2015-12-26,2015,12,52,431.61,415.55,415,415.43,211478.47,170904,NA,0,0,18,NA
2015-12-25,2015,12,52,455.25,456.4,455.87,456.13,43465.03,184124,NA,0,0,18,NA
2015-12-24,2015,12,52,454.43,453.78,453.64,453.76,78876.65,227189,NA,0,0,18,NA
2015-12-23,2015,12,52,441.44,443.68,443.33,443.79,64093.9,221289,NA,2,1,18,NA
2015-12-22,2015,12,51,439.89,437.34,436.98,437.32,69593.35,223130,NA,0,0,18,NA
2015-12-21,2015,12,51,437.71,436.11,435.73,435.98,119521.2,222112,NA,0,0,18,NA
2015-12-20,2015,12,51,455.27,443.17,442.9,442.87,119008.97,191441,NA,0,0,18,NA
2015-12-19,2015,12,51,464,462.35,461.91,462.27,63401.04,216944,NA,0,1,18,NA
2015-12-18,2015,12,51,460.73,464.48,463.91,464.2,82317.55,214387,NA,0,0,18,NA
2015-12-17,2015,12,51,455.55,457.02,456.66,456.63,67726.34,219600,NA,3,3,18,NA
2015-12-16,2015,12,51,457.64,454.22,453.99,454.03,186908.79,222531,NA,4,0,18,NA
2015-12-15,2015,12,50,456.75,463.87,463.47,463.69,121020.71,227706,NA,0,1,20,NA
2015-12-14,2015,12,50,441.46,443.46,443.25,443.38,246514,221499,NA,0,1,20,NA
